"Id","IsDeleted","MasterRecordId","AccountId","Salutation","FirstName","LastName","OtherStreet","OtherCity","OtherState","OtherPostalCode","OtherCountry","MailingStreet","MailingCity","MailingState","MailingPostalCode","MailingCountry","Phone","Fax","MobilePhone","HomePhone","OtherPhone","AssistantPhone","ReportsToId","Email","Title","Department","AssistantName","LeadSource","Birthdate","Description","OwnerId","HasOptedOutOfEmail","HasOptedOutOfFax","DoNotCall","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastCURequestDate","LastCUUpdateDate","EmailBouncedReason","EmailBouncedDate","Jigsaw","JigsawContactId","Level__c","Languages__c"
"003E000000JcD3rIAF","0","","001E000000M4pZEIAZ","Ms.","Rose","Gonzalez","","","","","","313 Constitution Place Austin, TX 78767 USA","","","","","(512) 757-6000","(512) 757-9000","(512) 757-9340","","","","","rose@edge.com","SVP, Procurement","Procurement","","Trade Show","1960-08-09 00:00:00","","005E0000001eioKIAQ","0","0","0","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","","","","","","Primary","English"
"003E000000JcD3sIAF","0","","001E000000M4pZEIAZ","Mr.","Sean","Forbes","","","","","","312 Constitution Place Austin, TX 78767 USA","","","","","(512) 757-6000","(512) 757-9000","(512) 757-4561","","","","","sean@edge.com","CFO","Finance","","Trade Show","1939-05-08 00:00:00","","005E0000001eioKIAQ","0","0","0","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","","","","","","Secondary","English"
"003E000000JcD3tIAF","0","","001E000000M4pZFIAZ","Mr.","Jack","Rogers","","","","","","525 S. Lexington Ave","Burlington","NC","27215","USA","(336) 222-7000","(336) 222-8000","","","","","","jrogers@burlington.com","VP, Facilities","","","Web","","","005E0000001eioKIAQ","0","0","0","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","","","","","","",""
"003E000000JcD3uIAF","0","","001E000000M4pZGIAZ","Ms.","Pat","Stumuller","2 Place Jussieu","Paris","","75251","France","2 Place Jussieu","Paris","","75251","France","(014) 427-4427","(014) 427-4428","(014) 454-6364","","","(014) 427-4465","","pat@pyramid.net","SVP, Administration and Finance","Finance","Jean Marie","","","","005E0000001eioKIAQ","0","0","0","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","","","","","","Primary","French, English"
"003E000000JcD3vIAF","0","","001E000000M4pZHIAZ","Mr","Andy","Young","1301 Hoch Drive","Lawrence","KS","66045","USA","1301 Hoch Drive","Lawrence","KS","66045","USA","(785) 241-6200","","(785) 265-5350","","","","","a_young@dickenson.com","SVP, Operations","Internal Operations","","Purchased List","","","005E0000001eioKIAQ","0","0","0","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","","","","","","Primary","English"
"003E000000JcD3wIAF","0","","001E000000M4pZIIAZ","Mr.","Tim","Barr","","","","","","2335 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA","","","","","(312) 596-1000","(312) 596-1500","(312) 596-1230","","","","","barr_tim@grandhotels.com","SVP, Administration and Finance","Finance","","External Referral","1946-04-05 00:00:00","","005E0000001eioKIAQ","0","0","0","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","","","","","","Secondary","English"
"003E000000JcD3xIAF","0","","001E000000M4pZIIAZ","Mr.","John","Bond","","","","","","2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA","","","","","(312) 596-1000","(312) 596-1500","(312) 596-1563","","","","","bond_john@grandhotels.com","VP, Facilities","Facilities","","External Referral","1948-06-16 00:00:00","","005E0000001eioKIAQ","0","0","0","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","","","","","","Primary","English"
"003E000000JcD3yIAF","0","","001E000000M4pZLIAZ","Ms.","Stella","Pavlova","","","","","","1303 Avenue of the Americas  New York, NY 10019 USA","","","","","(212) 842-5500","(212) 842-5501","(212) 842-5501","","(212) 842-5543","(212) 842-5589","","spavlova@uog.com","SVP, Production","Production","Audrey Haynes","Public Relations","1935-12-01 00:00:00","","005E0000001eioKIAQ","0","0","0","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","","","","","","Tertiary","English"
"003E000000JcD3zIAF","0","","001E000000M4pZLIAZ","Ms.","Lauren","Boyle","","","","","","1304 Avenue of the Americas  New York, NY 10019 USA","","","","","(212) 842-5500","(212) 842-5501","(212) 842-5611","","","","","lboyle@uog.com","SVP, Technology","Technology","","Public Relations","1953-01-13 00:00:00","","005E0000001eioKIAQ","0","0","0","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","","","","","","Secondary","English"
"003E000000JcD40IAF","0","","001E000000M4pZJIAZ","Ms.","Babara","Levy","","","","","","620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States","","","","","(503) 421-7800","(503) 421-7801","(503) 421-5451","","","(503) 421-6782","","b.levy@expressl&t.net","SVP, Operations","Operations","Ron Sage","Word of mouth","1929-07-17 00:00:00","","005E0000001eioKIAQ","0","0","0","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","","","","","","Primary","English"
"003E000000JcD41IAF","0","","001E000000M4pZJIAZ","Mr.","Josh","Davis","","","","","","621 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States","","","","","(503) 421-7800","(503) 421-7801","(503) 421-4387","","","","","j.davis@expressl&t.net","Director, Warehouse Mgmt","Warehouse Mgmt","","Word of mouth","1940-11-10 00:00:00","","005E0000001eioKIAQ","0","0","0","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","","","","","","Secondary","English"
"003E000000JcD42IAF","0","","001E000000M4pZKIAZ","Ms.","Jane","Grey","","","","","","888 N Euclid  Hallis Center, Room 501 Tucson, AZ 85721 United States","","","","","(520) 773-9050","(520) 773-9060","(520) 773-4539","","","","","jane_gray@uoa.edu","Dean of Administration","Administration","","Word of mouth","1936-09-27 00:00:00","","005E0000001eioKIAQ","0","0","0","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","","","","","","Primary","English"
"003E000000JcD43IAF","0","","001E000000M4pZLIAZ","Mr.","Arthur","Song","","","","","","1301 Avenue of the Americas  New York, NY 10019 USA","","","","","(212) 842-5500","(212) 842-5501","(212) 842-4535","","","(212) 842-5464","","asong@uog.com","CEO","Executive Team","Pat Feinstein","Public Relations","1944-03-28 00:00:00","","005E0000001eioKIAQ","0","0","0","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","","","","","","Secondary","English"
"003E000000JcD44IAF","0","","001E000000M4pZCIAZ","Ms.","Ashley","James","","","","","","Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom","","","","","+44 191 4956203","+44 191 4956620","+44 191 3456234","","","","","ajames@uog.com","VP, Finance","Finance","","Public Relations","1938-12-06 00:00:00","","005E0000001eioKIAQ","0","0","0","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","","","","","","Primary","English"
"003E000000JcD45IAF","0","","001E000000M4pZDIAZ","Mr.","Tom","Ripley","","","","","","9 Tagore Lane Singapore, Singapore 787472 Singapore","","","","","(650) 450-8810","(650) 450-8820","(650) 345-7636","","","","","tripley@uog.com","Regional General Manager","Executive Team","","Public Relations","1943-02-02 00:00:00","","005E0000001eioKIAQ","0","0","0","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","","","","","","Primary","English"
"003E000000JcD46IAF","0","","001E000000M4pZDIAZ","Ms.","Liz","D'Cruz","","","","","","10 Tagore Lane Singapore, Singapore 787472 Singapore","","","","","(650) 450-8810","(650) 450-8820","(650) 345-6637","","","","","ldcruz@uog.com","VP, Production","Production","","Public Relations","1954-05-15 00:00:00","","005E0000001eioKIAQ","0","0","0","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","","","","","","Secondary","English"
"003E000000JcD47IAF","0","","001E000000M4pZBIAZ","Ms.","Edna","Frank","","","","","","345 Shoreline Park Mountain View, CA 94043 USA","","","","","(650) 867-3450","(650) 867-9895","(650) 867-7686","","","","","efrank@genepoint.com","VP, Technology","Technology","","Partner","1934-10-20 00:00:00","","005E0000001eioKIAQ","0","0","0","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","","","","","","Primary","English"
"003E000000JcD48IAF","0","","001E000000M4pZLIAZ","Mr.","Avi","Green","","","","","","1302 Avenue of the Americas  New York, NY 10019 USA","","","","","(212) 842-5500","(212) 842-5501","(212) 842-2383","","","(212) 842-5428","","agreen@uog.com","CFO","Finance","Chris Nobel","Public Relations","1926-03-09 00:00:00","","005E0000001eioKIAQ","0","0","0","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","","","","","","Primary","English"
"003E000000JcD49IAF","0","","001E000000M4pZMIAZ","Ms.","Siddartha","Nedaerk","","","","","","The Landmark @ One Market","San Francisco","CA","94087","US","","","","","","","","","","","","","","","005E0000001eioKIAQ","0","0","0","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","","","","","","",""
"003E000000JcD4AIAV","0","","001E000000M4pZMIAZ","Mr.","Jake","Llorrac","","","","","","","","","","","","","","","","","","","","","","","","","005E0000001eioKIAQ","0","0","0","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","","","","","","",""
